GYNZY;51.4387373;5.4783485
00AP;52.0527543;4.4726227
00BB;53.2450122;6.9766952
00BS;52.5857023;6.2807186
00DN;50.8931257;5.7321776
00DY;52.417798;5.8801927
00EB;51.6960872;5.9381113
00FI;52.8821736;7.0666116
00GR;52.3920749;6.0428167
00GX;51.911958;5.7883071
00GZ;52.4888117;5.4967796
00HA;52.2898179;5.6127213
00HH;51.5832145;3.7458461
00IJ;52.3768815;6.4832623
01VR;51.9687522;4.6080473
01VY;51.8623858;4.9921243
01WR;52.2909558;5.6148048
01XU;51.960115;4.5059349
02ZY;51.5120703;3.9039379
03AG;52.437006;4.6630148
03AH;51.3761443;6.1747099
03AZ;52.6422639;4.7313811
03BR;50.9386498;5.800548
03BW;51.9438678;5.926486
03CL;53.0972945;4.7605904
03CO;52.7869632;6.1382288
03CV;52.7712281;4.7479999
03DG;53.3653273;6.6316811
03DW;53.1838529;7.211131
03EH;52.4631521;5.9979079
03EI;53.4016087;6.6140362
03FJ;51.9797712;4.7672524
03GD;52.0447829;4.798117
03GE;51.9181886;4.4284249
03GJ;51.5017389;3.8626431
03GT;53.0959485;5.6190889
03GW;50.9967237;5.8619743
03HA;51.7336886;5.5318324
03HG;51.2798222;5.7417225
03HK;52.5207529;6.4191293
03HQ;52.6131141;6.1825129
03HR;52.9995267;6.5597037
03IX;52.0519333;5.275418
03IY;50.8459795;5.6587894
03JB;51.50676;5.3873322
03JC;51.6063856;4.7869034
03JI;52.2887668;5.9783482
03JW;53.1641642;5.7817542
03KA;51.6501872;3.9221089
03KF;52.2649844;4.7539947
03KR;53.1559234;6.7487638
03KT;52.7141715;5.7367083
03KW;52.0794495;5.2351688
03LK;51.8909943;6.3722686
03LR;53.201616;6.2504497
03LY;51.5706793;4.7874494
03MH;51.6047202;5.4992309
03MK;51.5868461;5.1500955
03NB;51.924216;4.481776
03NC;50.8482083;5.7267228
03NH;51.2468173;3.4436819
03NO;51.4536603;4.5850416
03NW;51.578012;4.7867123
03OB;50.8764445;5.8893964
03ON;53.1543013;6.7436263
03OP;50.8507896;5.6757982
03OR;51.267914;3.8977526
03PD;51.238437;6.0479882
03PF;50.8161703;6.0049307
03PH;52.1992548;4.6306235
03PK;51.6357886;4.9763063
03PP;51.5400286;5.5720936
03QD;50.8341069;5.6532573
03QH;51.5506324;6.0484637
03QN;51.5920881;5.5420735
03QQ;51.8618302;6.1141418
03QR;51.9281844;5.9293733
03QY;51.5902582;5.3198868
03RA;52.6353284;5.8259438
03RD;52.5945579;6.1024945
03RE;52.5490727;5.8980017
03RG;50.8553854;5.9460141
03RK;52.0822381;4.8808156
03RQ;51.8590216;4.5305521
03RX;52.9915016;6.9472931
03RY;52.7730091;6.9585032
03SB;51.6867064;4.9062217
03SC;52.4017268;7.0119763
03SE;51.2810609;3.8353239
